id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
260774877345226752	260774877345226752	2012-10-23 12:09:10 EDT	2012-10-23	12:09:10	-0400	92102359	repgaryackerman	Gary Ackerman		Another win for @BarackObama in the 3rd Presidential #debate. Too bad there's not a 4th one. The President would win that as well.	en	[{'screen_name': 'barackobama', 'name': 'barack obama', 'id': '813286'}]	[]	[]	6	2	10	['debate']	[]	https://twitter.com/RepGaryAckerman/status/260774877345226752	False		0								[]				
260463632775786496	260463632775786496	2012-10-22 15:32:23 EDT	2012-10-22	15:32:23	-0400	92102359	repgaryackerman	Gary Ackerman		Today @Newsday reports on my analysis previewing tonight's foreign policy #debate between @BarackObama and @MittRomney.  http://t.co/BLCTVm54	en	[{'screen_name': 'newsday', 'name': 'newsday', 'id': '8861182'}, {'screen_name': 'barackobama', 'name': 'barack obama', 'id': '813286'}, {'screen_name': 'mittromney', 'name': 'mitt romney', 'id': '50055701'}]	['http://bit.ly/VvrJct']	[]	0	2	1	['debate']	[]	https://twitter.com/RepGaryAckerman/status/260463632775786496	False		0								[]				
260463143648628736	260463143648628736	2012-10-22 15:30:27 EDT	2012-10-22	15:30:27	-0400	92102359	repgaryackerman	Gary Ackerman		@Newsday reports on my analysis previewing tonight's foreign policy #debate between @BarackObama and @MittRomney.  http://t.co/BLCTVm54	en	[{'screen_name': 'barackobama', 'name': 'barack obama', 'id': '813286'}, {'screen_name': 'mittromney', 'name': 'mitt romney', 'id': '50055701'}]	['http://bit.ly/VvrJct']	[]	0	0	1	['debate']	[]	https://twitter.com/RepGaryAckerman/status/260463143648628736	False		0								[]				
260461612031434752	260461612031434752	2012-10-22 15:24:22 EDT	2012-10-22	15:24:22	-0400	92102359	repgaryackerman	Gary Ackerman		The @NewYorkPost gossip columist Cindy Adams mentions me in her column today.  http://t.co/t0x9jqq4	en	[{'screen_name': 'newyorkpost', 'name': 'new york post', 'id': '16497528'}]	['http://bit.ly/QAZ7cb']	[]	2	0	1	[]	[]	https://twitter.com/RepGaryAckerman/status/260461612031434752	False		0								[]				
258584682218807297	258584682218807297	2012-10-17 11:06:07 EDT	2012-10-17	11:06:07	-0400	92102359	repgaryackerman	Gary Ackerman		Barack Obama brought his A-game to #LongIsland and ko'd Mitt Romney in the middle of #NassauCounty. Well done Mr. President.	en	[]	[]	[]	1	1	1	['longisland', 'nassaucounty']	[]	https://twitter.com/RepGaryAckerman/status/258584682218807297	False		0								[]				
258313545857503232	258313545857503232	2012-10-16 17:08:43 EDT	2012-10-16	17:08:43	-0400	92102359	repgaryackerman	Gary Ackerman		Will soon be heading to @HofstraU for tonight’s debate. It’s just 20 minutes from my house. Will of course be rooting for our cmdr in chief.	en	[{'screen_name': 'hofstrau', 'name': 'hofstra university', 'id': '5141841'}]	[]	[]	0	1	0	[]	[]	https://twitter.com/RepGaryAckerman/status/258313545857503232	False		0								[]				
258232994228219904	258232994228219904	2012-10-16 11:48:38 EDT	2012-10-16	11:48:38	-0400	92102359	repgaryackerman	Gary Ackerman		Happy to welcome #BarackObama &amp; #MittRomney to #LongIsland for their 2nd showdown. Just not sure which Mitt Romney will show-up here.	en	[]	[]	[]	0	1	0	['barackobama', 'mittromney', 'longisland']	[]	https://twitter.com/RepGaryAckerman/status/258232994228219904	False		0								[]				
258230541952888832	258230541952888832	2012-10-16 11:38:53 EDT	2012-10-16	11:38:53	-0400	92102359	repgaryackerman	Gary Ackerman		Pleased to announce that #FEMA has awarded @NorthHempstead more than $1.2 million to pay for cleanup costs caused by #HurricaneIrene.	en	[{'screen_name': 'northhempstead', 'name': 'north hempstead', 'id': '46139026'}]	[]	[]	1	1	0	['fema', 'hurricaneirene']	[]	https://twitter.com/RepGaryAckerman/status/258230541952888832	False		0								[]				
256769074229563392	256769074229563392	2012-10-12 10:51:32 EDT	2012-10-12	10:51:32	-0400	92102359	repgaryackerman	Gary Ackerman		Way to go Joe! Biden trounced Ryan in the #VPDebate. Look forward to @BarackObama doing the same to Mitt Romney next week.	en	[{'screen_name': 'barackobama', 'name': 'barack obama', 'id': '813286'}]	[]	[]	1	1	0	['vpdebate']	[]	https://twitter.com/RepGaryAckerman/status/256769074229563392	False		0								[]				
255716458460479489	255716458460479489	2012-10-09 13:08:49 EDT	2012-10-09	13:08:49	-0400	92102359	repgaryackerman	Gary Ackerman		The @HearstCorp - which owns a number of publications around the country - posted a story about my upcoming retirement.  http://t.co/Jb31hrAQ	en	[{'screen_name': 'hearstcorp', 'name': 'hearst', 'id': '780472459749314560'}]	['http://bit.ly/Vt35rK']	[]	1	0	0	[]	[]	https://twitter.com/RepGaryAckerman/status/255716458460479489	False		0								[]				
