id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1399151749089435650	1399151749089435650	2021-05-30 19:52:26 EDT	2021-05-30	19:52:26	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		Greenwood was a thriving Black neighborhood, burned by a white mob that was state sponsored.  We are demanding that this stolen wealth be returned to us. We are not asking. We are demanding.   Reparations now.  Rebuild Black Wall Street.  https://t.co/4qNWKfp6pn	en	[]	[]	['https://pbs.twimg.com/media/E2rJGOoXwAEbiKn.jpg']	36	129	574	[]	[]	https://twitter.com/RepCori/status/1399151749089435650	False		1	https://pbs.twimg.com/media/E2rJGOoXwAEbiKn.jpg							[]				
1398789109347459072	1398789109347459072	2021-05-29 19:51:26 EDT	2021-05-29	19:51:26	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		I joined @JacksonLeeTX18 @rashadrobinson @dreisenheath and @AttorneyDamario on a panel to discuss reparations.   Let me be clear:   There is no equity without reparations.   There is no justice without reparations.  https://t.co/EXLm5pzvnn	en	[{'screen_name': 'jacksonleetx18', 'name': 'sheila jackson lee', 'id': '80612021'}, {'screen_name': 'rashadrobinson', 'name': 'rashad robinson', 'id': '21456548'}, {'screen_name': 'dreisenheath', 'name': 'dreisen heath', 'id': '973740983602024453'}, {'screen_name': 'attorneydamario', 'name': 'damario solomon-simmons', 'id': '165307588'}]	[]	['https://pbs.twimg.com/media/E2l_N_CWUAAl4kb.jpg', 'https://pbs.twimg.com/media/E2l_N_IXoAM5mjI.jpg']	18	25	128	[]	[]	https://twitter.com/RepCori/status/1398789109347459072	False		1	https://pbs.twimg.com/media/E2l_N_CWUAAl4kb.jpg							[]				
1398696239793852416	1398696239793852416	2021-05-29 13:42:24 EDT	2021-05-29	13:42:24	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		We just arrived in Tulsa, Oklahoma for the Black Wall Street Legacy Festival to commemorate 100 years since the Tulsa-Greenwood Massacre.   Our message here is clear: it’s time for reparations.	en	[]	[]	[]	27	157	844	[]	[]	https://twitter.com/RepCori/status/1398696239793852416	False		0								[]				
1398415434605645829	1398415434605645829	2021-05-28 19:06:35 EDT	2021-05-28	19:06:35	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		In St. Louis, Gateway 180 and other shelters provide essential services to our unhoused community. It was a privilege to visit their space and learn about their lifesaving work.  To every unhoused person in St. Louis: your Congresswoman was once unhoused too, and I love you.  https://t.co/gACd0xUXJ9	en	[]	[]	['https://pbs.twimg.com/media/E2grZ7WWQAQZn0s.jpg', 'https://pbs.twimg.com/media/E2grZ7fWEAE5fQr.jpg', 'https://pbs.twimg.com/media/E2grZ7hXIAIjqML.jpg']	2	17	124	[]	[]	https://twitter.com/RepCori/status/1398415434605645829	False		1	https://pbs.twimg.com/media/E2grZ7WWQAQZn0s.jpg							[]				
1398381414652039172	1398381414652039172	2021-05-28 16:51:24 EDT	2021-05-28	16:51:24	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		We secured more than $35 million in emergency rental assistance for St. Louis through the American Rescue Plan and that money is HERE!   St. Louis City residents apply here:  https://t.co/11L9k3lcOX  St. Louis County residents apply here:  https://t.co/xnrw2ijYuE	en	[]	['https://www.stlouis-mo.gov/government/departments/human-services/emergency-assistance/index.cfm', 'https://stlcorona.com/resident/resources-rent/']	[]	0	12	37	[]	[]	https://twitter.com/RepCori/status/1398381414652039172	False		0								[]				
1398012258870087681	1398012258870087681	2021-05-27 16:24:30 EDT	2021-05-27	16:24:30	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		I had the pleasure of visiting with the mayors of Pagedale and Pinelawn to discuss ways we can partner for our district.  I was also inspired by our community members leading the fight against environmental injustice as they clean up a Wellston neighborhood.  https://t.co/YkPiqB5zEM	en	[]	[]	['https://pbs.twimg.com/media/E2a8vJuXEA4Vgc2.jpg', 'https://pbs.twimg.com/media/E2a8vJuXIAEbX_C.jpg', 'https://pbs.twimg.com/media/E2a8vKpWUAU88EE.jpg', 'https://pbs.twimg.com/media/E2a8vJtXIAYBPYV.jpg']	1	6	80	[]	[]	https://twitter.com/RepCori/status/1398012258870087681	False		1	https://pbs.twimg.com/media/E2a8vJuXEA4Vgc2.jpg							[]				
1397974093165649924	1397974093165649924	2021-05-27 13:52:51 EDT	2021-05-27	13:52:51	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		Time is running out to protect our right to vote.  It’s time for Congress to act.  https://t.co/YHYPTJLmnI	en	[]	[]	[]	3	31	124	[]	[]	https://twitter.com/RepCori/status/1397974093165649924	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1397973757810122759/pu/img/a91TIQGZQp0Wk2gu.jpg							[]				
1397912220470714372	1397912220470714372	2021-05-27 09:46:59 EDT	2021-05-27	09:46:59	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		We must move away from incarceration and towards restoration.  I’m excited to see St. Louis leading the way with a new restorative justice program. This is how our communities heal.  https://t.co/4f06wwhKP1	en	[]	['https://news.stlpublicradio.org/show/st-louis-on-the-air/2021-05-21/freedom-community-center-to-offer-st-louis-new-model-for-restorative-justice']	[]	5	17	92	[]	[]	https://twitter.com/RepCori/status/1397912220470714372	False		0								[]				
1397316844525170694	1397316844525170694	2021-05-25 18:21:11 EDT	2021-05-25	18:21:11	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		There are so many people in our country who live one car accident, one flat tire, one medical emergency away from absolute catastrophe. I know it’s true because that was me.   Poverty is a policy choice and now is the time to end it.  https://t.co/bYkbdyULBM	en	[]	[]	[]	7	64	332	[]	[]	https://twitter.com/RepCori/status/1397316844525170694	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1397315935933960198/pu/img/oFh8fkFRQEr9vkr2.jpg							[]				
1397185778703380487	1397185769123586053	2021-05-25 09:40:22 EDT	2021-05-25	09:40:22	-0400	1002630999052865536	repcori	Congresswoman Cori Bush		George Floyd should still be here today — and it is in his name that we will continue to fight until justice is won for everyone.	en	[]	[]	[]	9	25	159	[]	[]	https://twitter.com/RepCori/status/1397185778703380487	False		0								[]				
