id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1267447614741643265	1267447614741643265	2020-06-01 09:27:14 EDT	2020-06-01	09:27:14	-0400	1242692525862703105	repdavecamp	David Smith		"""You don’t get to experience the hassle, inconvenience, and expense of moving out of your treasured family home.""   https://t.co/7YZBDZkmhb  #Calculator #MortgageLoan #Equity pic.twitter.com/FXuVJqYLzO  https://t.co/k5fg7l0CUu"	en	[]	['https://lttr.ai/GKxI', 'https://twitter.com/Sovereign_Boss/status/1267434338607644674']	[]	0	0	0	['calculator', 'mortgageloan', 'equitypic']	[]	https://twitter.com/RepDaveCamp/status/1267447614741643265	False	https://twitter.com/Sovereign_Boss/status/1267434338607644674	0								[]				
1267387209050710016	1267387209050710016	2020-06-01 05:27:12 EDT	2020-06-01	05:27:12	-0400	1242692525862703105	repdavecamp	David Smith		Here you Have the Best Equity Release Companies   https://t.co/ZKxpkDT4eJ  #Aviva #FinancialConductAuthority #FCA pic.twitter.com/8RiQQw3N6Y  https://t.co/o6U7DH1wKx	en	[]	['https://lttr.ai/GKxJ', 'https://twitter.com/Sovereign_Boss/status/1267373665953382400']	[]	0	0	0	['aviva', 'financialconductauthority', 'fcapic']	[]	https://twitter.com/RepDaveCamp/status/1267387209050710016	False	https://twitter.com/Sovereign_Boss/status/1267373665953382400	0								[]				
1265409129247576064	1265409129247576064	2020-05-26 18:27:01 EDT	2020-05-26	18:27:01	-0400	1242692525862703105	repdavecamp	David Smith		Any Question? Check the Equity Release FAQ’s   https://t.co/Qkog62jskN  #MortgageLoan #InheritanceTax #Equity pic.twitter.com/rw19zNPRi7  https://t.co/BT4j4EZ8rJ	en	[]	['https://lttr.ai/GKxK', 'https://twitter.com/Sovereign_Boss/status/1265391811826192390']	[]	0	0	0	['mortgageloan', 'inheritancetax', 'equitypic']	[]	https://twitter.com/RepDaveCamp/status/1265409129247576064	False	https://twitter.com/Sovereign_Boss/status/1265391811826192390	0								[]				
1265288390712459271	1265288390712459271	2020-05-26 10:27:14 EDT	2020-05-26	10:27:14	-0400	1242692525862703105	repdavecamp	David Smith		"""One Reverse Mortgage also has an extensive service network –its employees and management have a clear understanding of the federal laws and regulations when it comes to mortgages and financial transactions.""   https://t.co/3feY9mmx5m  #ReverseMortgage #M…  https://t.co/hkEaWaCsZt"	en	[]	['https://lttr.ai/GKxL', 'https://twitter.com/Sovereign_Boss/status/1265282852654059521']	[]	0	0	0	['reversemortgage', 'm']	[]	https://twitter.com/RepDaveCamp/status/1265288390712459271	False	https://twitter.com/Sovereign_Boss/status/1265282852654059521	0								[]				
1265273302035116033	1265273302035116033	2020-05-26 09:27:17 EDT	2020-05-26	09:27:17	-0400	1242692525862703105	repdavecamp	David Smith		"""Your property must be in either England, Scotland or Wales""   https://t.co/cCdb89qdMv  #MortgageLoan #FinancialAdviser #Equity pic.twitter.com/buwBag4M6g  https://t.co/AMWxfZ4Vyf"	en	[]	['https://lttr.ai/GKxM', 'https://twitter.com/Sovereign_Boss/status/1265259970507014144']	[]	0	0	0	['mortgageloan', 'financialadviser', 'equitypic']	[]	https://twitter.com/RepDaveCamp/status/1265273302035116033	False	https://twitter.com/Sovereign_Boss/status/1265259970507014144	0								[]				
1265227974913200128	1265227974913200128	2020-05-26 06:27:10 EDT	2020-05-26	06:27:10	-0400	1242692525862703105	repdavecamp	David Smith		"""You release a lump sum from the value of your property, by taking out a mortgage secured on your property (provided it is your main residence) whilst maintaining 100% ownership of your home.""   https://t.co/Oy9qKgvvr3  #Equity #Calculator #MortgageLoanpi…  https://t.co/K1wN5Xfsg6"	en	[]	['https://lttr.ai/GKxN', 'https://twitter.com/Sovereign_Boss/status/1265199305536745472']	[]	0	0	0	['equity', 'calculator', 'mortgageloanpi']	[]	https://twitter.com/RepDaveCamp/status/1265227974913200128	False	https://twitter.com/Sovereign_Boss/status/1265199305536745472	0								[]				
1265061911936278528	1265061911936278528	2020-05-25 19:27:18 EDT	2020-05-25	19:27:18	-0400	1242692525862703105	repdavecamp	David Smith		"""At the end of the plan your property is sold and the sale proceeds are shared according to the remaining proportions of ownership.""   https://t.co/WPtDwLmhUt  #Equity #NorthernIreland #Belfast pic.twitter.com/bUch5Vqepn  https://t.co/nHuVGyjtDr"	en	[]	['https://lttr.ai/GK2B', 'https://twitter.com/Sovereign_Boss/status/1265029418986147851']	[]	0	0	0	['equity', 'northernireland', 'belfastpic']	[]	https://twitter.com/RepDaveCamp/status/1265061911936278528	False	https://twitter.com/Sovereign_Boss/status/1265029418986147851	0								[]				
1264941053930586117	1264941053930586117	2020-05-25 11:27:03 EDT	2020-05-25	11:27:03	-0400	1242692525862703105	repdavecamp	David Smith		Get the Best Equity Release Deal in Nottingham   https://t.co/ELFZwCLnze  #Belfast #Equity #Nottingham pic.twitter.com/6FOm8EnlIe  https://t.co/xjLxUA92XB	en	[]	['https://lttr.ai/GK2C', 'https://twitter.com/Sovereign_Boss/status/1264920519431860225']	[]	0	0	0	['belfast', 'equity', 'nottinghampic']	[]	https://twitter.com/RepDaveCamp/status/1264941053930586117	False	https://twitter.com/Sovereign_Boss/status/1264920519431860225	0								[]				
1264910914727354371	1264910914727354371	2020-05-25 09:27:17 EDT	2020-05-25	09:27:17	-0400	1242692525862703105	repdavecamp	David Smith		"""Learn more about the ‘Types of Equity Release' here.""   https://t.co/r75RrR1n55  #Equity #Belfast #Plymouth pic.twitter.com/2jClURyt1w  https://t.co/Y83ZBs5sG8"	en	[]	['https://lttr.ai/GK2D', 'https://twitter.com/Sovereign_Boss/status/1264897592535760896']	[]	0	0	0	['equity', 'belfast', 'plymouthpic']	[]	https://twitter.com/RepDaveCamp/status/1264910914727354371	False	https://twitter.com/Sovereign_Boss/status/1264897592535760896	0								[]				
1264850459799494656	1264850459799494656	2020-05-25 05:27:04 EDT	2020-05-25	05:27:04	-0400	1242692525862703105	repdavecamp	David Smith		"""Belfast equity release – get a free equity release quote here and chat with an adviser to learn more.""   https://t.co/JSghwKsKAB  #Portsmouth #Equity #Belfast pic.twitter.com/pSinQeNFBf  https://t.co/lsROEeaPJm"	en	[]	['https://lttr.ai/GK2E', 'https://twitter.com/Sovereign_Boss/status/1264836944162435073']	[]	0	0	0	['portsmouth', 'equity', 'belfastpic']	[]	https://twitter.com/RepDaveCamp/status/1264850459799494656	False	https://twitter.com/Sovereign_Boss/status/1264836944162435073	0								[]				
