id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1398355402031575045	1398355402031575045	2021-05-28 15:08:02 EDT	2021-05-28	15:08:02	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		As we head into #MemorialDay weekend, I'm honored to join my colleagues in introducing a resolution recognizing the men &amp; women of the #ArmedForces who've died to secure liberty &amp; peace.  God bless all those who've made the ultimate sacrifice to protect &amp; defend the USA. 🇺🇸 #IA04  https://t.co/YWsQXDwsc1	en	[]	[]	['https://pbs.twimg.com/media/E2f0rb7WEAQueBa.png', 'https://pbs.twimg.com/media/E2f0sgUXwAIi7c2.png']	11	4	9	['memorialday', 'armedforces', 'ia04']	[]	https://twitter.com/RepFeenstra/status/1398355402031575045	False		1	https://pbs.twimg.com/media/E2f0rb7WEAQueBa.png							[]				
1398335664941379589	1398335664941379589	2021-05-28 13:49:36 EDT	2021-05-28	13:49:36	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		Pres. Biden's proposed $6T budget would:  ❌Explode the deficit ❌Worsen inflation, which already rose higher than expected in both March &amp; April ❌Raise taxes  American families will ultimately pay the price for this admin's reckless tax &amp; spend policies.  https://t.co/VvizSv4Myg	en	[]	['https://www.foxbusiness.com/economy/biden-budget-proposal-fiscal-year-2022']	[]	7	0	1	[]	[]	https://twitter.com/RepFeenstra/status/1398335664941379589	False		0								[]				
1398292969413881864	1398292969413881864	2021-05-28 10:59:57 EDT	2021-05-28	10:59:57	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		I joined my colleagues in sending a letter to Speaker Pelosi, demanding an investigation into the origins of #COVID.  The #ChineseCommunistParty can't be trusted. We must get to the bottom of how this virus turned into a global pandemic, crippling economies &amp; killing 3M+ people.	en	[]	[]	[]	41	40	110	['covid', 'chinesecommunistparty']	[]	https://twitter.com/RepFeenstra/status/1398292969413881864	False	https://twitter.com/SteveScalise/status/1398268375055413252	0								[]				
1398001479219355648	1398001479219355648	2021-05-27 15:41:40 EDT	2021-05-27	15:41:40	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		✅DOE finds #ethanol significantly reduces GHGs ✅DOE estimates ~80% of new vehicles will still be liquid fuel vehicles by 2050 ✅@ENERGY @SecGranholm then confirms #biofuels are important long-term  I'll continue pressing the Admin to support biofuels based on these findings.  https://t.co/rEwuhmXuZW	en	[{'screen_name': 'energy', 'name': 'u.s. department of energy', 'id': '166252256'}, {'screen_name': 'secgranholm', 'name': 'secretary jennifer granholm', 'id': '1354833262431133696'}]	[]	[]	5	8	19	['ethanol', 'biofuels']	[]	https://twitter.com/RepFeenstra/status/1398001479219355648	False		1	https://pbs.twimg.com/amplify_video_thumb/1397999758430642177/img/GaYrEdotHI2iC9TN.jpg							[]				
1397942214857220097	1397942214857220097	2021-05-27 11:46:11 EDT	2021-05-27	11:46:11	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		W/ #inflation already causing the cost of goods to ⬆️, Biden's set to propose $1.3T in deficit spending. This will only further devalue the dollar &amp; force Americans to pay even more. We must work towards balancing the budget to stabilize our economy. #IA04  https://t.co/c9PKttZZ30	en	[]	['https://www.wsj.com/articles/bidens-budget-what-to-expect-and-what-it-means-11622115982']	[]	7	2	9	['inflation', 'ia04']	[]	https://twitter.com/RepFeenstra/status/1397942214857220097	False		0								[]				
1397626878819770371	1397626878819770371	2021-05-26 14:53:09 EDT	2021-05-26	14:53:09	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		🚨 My office is now accepting applications from Iowans in #IA04 seeking congressional nomination to a U.S. service academy.  Click below for more information ⤵️  https://t.co/WsMm9jiJkR	en	[]	['https://feenstra.house.gov/media/press-releases/feenstra-announces-service-academy-application-process-now-open']	[]	3	3	9	['ia04']	[]	https://twitter.com/RepFeenstra/status/1397626878819770371	False		0								[]				
1397596423756070916	1397596423756070916	2021-05-26 12:52:08 EDT	2021-05-26	12:52:08	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		#Biodiesel provides our truckers &amp; farmers with a clean, affordable fuel option, and the industry supports thousands of jobs in Iowa.  That's why I'm proud to be an original cosponsor of the bipartisan Biodiesel Tax Credit Extension Act. #IA04	en	[]	[]	[]	4	8	15	['biodiesel', 'ia04']	[]	https://twitter.com/RepFeenstra/status/1397596423756070916	False		0								[]				
1397554784492720133	1397554784492720133	2021-05-26 10:06:40 EDT	2021-05-26	10:06:40	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		Seeing the crisis at our border firsthand was an eye-opening experience.  W/ record amounts of fentanyl &amp; other contraband being smuggled across the border, we must ensure border patrol agents have the resources they need to keep our communities safe #IA04  https://t.co/jC4HvDAnmh	en	[]	['https://who13.com/news/politics/it-was-just-an-eye-opener-iowa-congressman-says-after-trip-to-border/']	[]	16	3	7	['ia04']	[]	https://twitter.com/RepFeenstra/status/1397554784492720133	False		0								[]				
1397268849578348552	1397251911192137734	2021-05-25 15:10:28 EDT	2021-05-25	15:10:28	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		"We're also urging Biden to recognize the ability for #biofuels to be a permanent clean energy solution as developments are moving them closer to becoming net carbon negative.  ""Biofuels should not be treated as a transition fuel, but prioritized as a fuel of the future."" #IA04"	en	[]	[]	[]	4	0	8	['biofuels', 'ia04']	[]	https://twitter.com/RepFeenstra/status/1397268849578348552	False		0								[]				
1397251911192137734	1397251911192137734	2021-05-25 14:03:09 EDT	2021-05-25	14:03:09	-0400	1345135363761852416	repfeenstra	Rep. Randy Feenstra		The Biden Admin has embraced electric vehicles w/o including biofuels in the conversation - ignoring #Iowa producers &amp; contradicting what Biden himself promised. That's why members of the IA delegation sent a letter to @POTUS urging him to uphold his promise to support #biofuels:  https://t.co/cKbatUWAmO	en	[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}]	[]	['https://pbs.twimg.com/media/E2QJNJUXMAQzsK2.jpg', 'https://pbs.twimg.com/media/E2QJNWGWUAMwEIK.jpg']	20	23	49	['iowa', 'biofuels']	[]	https://twitter.com/RepFeenstra/status/1397251911192137734	False		1	https://pbs.twimg.com/media/E2QJNJUXMAQzsK2.jpg							[]				
