id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1399175154194919425	1399175154194919425	2021-05-30 21:25:26 EDT	2021-05-30	21:25:26	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		DAY 67 — COP OUT KAMALA IS A NO SHOW AT THE BORDER   #BidenBorderCrisis	en	[]	[]	[]	7	8	27	['bidenbordercrisis']	[]	https://twitter.com/RepRonnyJackson/status/1399175154194919425	False		0								[]				
1399118419144982532	1399118419144982532	2021-05-30 17:40:00 EDT	2021-05-30	17:40:00	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		"Big tech platforms &amp; the liberal media went to great lengths to support Democrats by canceling conservatives who discussed the theory that COVID leaked from a lab in Wuhan.  Now the Democrats are all of a sudden on board to ""investigate.""  We won't let them forget what they did!  https://t.co/J0HlJM2QUq"	en	[]	[]	[]	1	2	9	[]	[]	https://twitter.com/RepRonnyJackson/status/1399118419144982532	False		1	https://pbs.twimg.com/amplify_video_thumb/1399117265900126214/img/i1sEz2zQghHK0QNQ.jpg							[]				
1398786997007917057	1398786997007917057	2021-05-29 19:43:02 EDT	2021-05-29	19:43:02	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		DAY 66 — COP OUT KAMALA IS A NO SHOW AT THE BORDER   #BidenBorderCrisis	en	[]	[]	[]	7	8	41	['bidenbordercrisis']	[]	https://twitter.com/RepRonnyJackson/status/1398786997007917057	False		0								[]				
1398724570866229248	1398724570866229248	2021-05-29 15:34:59 EDT	2021-05-29	15:34:59	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		Great news – the @AQHA is staying in Amarillo!  The Quarter Horse Association is an important, longstanding fixture in #TX13.  They've been in Amarillo for 75 years, let's make it 75 more! 👏  https://t.co/XvXhWzHkzm	en	[{'screen_name': 'aqha', 'name': 'aqha', 'id': '16692154'}]	['https://www.google.com/amp/s/amp.amarillo.com/amp/7440104002']	[]	1	7	13	['tx13']	[]	https://twitter.com/RepRonnyJackson/status/1398724570866229248	False		0								[]				
1398291248721666055	1398291248721666055	2021-05-28 10:53:07 EDT	2021-05-28	10:53:07	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		Congratulations, @AmarilloCollege, on being named @AspenHigherEd's 2021 Rising Star!   The fantastic students, faculty, and staff of Amarillo College represent the best of #TX13. Keep up the great work!   https://t.co/G4uQ9mRzGe	en	[{'screen_name': 'amarillocollege', 'name': 'amarillo college', 'id': '16210988'}, {'screen_name': 'aspenhighered', 'name': 'college excellence program', 'id': '2832244034'}]	['https://www.amarillo.com/story/news/2021/05/18/amarillo-college-receives-rising-star-award-aspen-institute/5128329001/']	[]	0	3	6	['tx13']	[]	https://twitter.com/RepRonnyJackson/status/1398291248721666055	False		0								[]				
1398051821940314113	1398051821940314113	2021-05-27 19:01:43 EDT	2021-05-27	19:01:43	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		DAY 64 — COP OUT KAMALA IS A NO SHOW AT THE BORDER   #BidenBorderCrisis	en	[]	[]	[]	20	101	327	['bidenbordercrisis']	[]	https://twitter.com/RepRonnyJackson/status/1398051821940314113	False		0								[]				
1398028422585229321	1398028422585229321	2021-05-27 17:28:44 EDT	2021-05-27	17:28:44	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		.@WTSoftball is playing in the NCAA DII Softball Championship TONIGHT.  Congratulations to the Lady Buffs! We are all rooting you on in #TX13.   GO BUFFS!  https://t.co/3RnQnIosSW	en	[{'screen_name': 'wtsoftball', 'name': 'lady buff softball', 'id': '45392403'}]	['https://www.amarillo.com/story/sports/2021/05/26/wt-softball-set-compete-2021-ncaa-dii-softball-championship/5242720001/']	[]	1	2	5	['tx13']	[]	https://twitter.com/RepRonnyJackson/status/1398028422585229321	False		0								[]				
1397720855765999616	1397720855765999616	2021-05-26 21:06:35 EDT	2021-05-26	21:06:35	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		DAY 63 — COP OUT KAMALA IS A NO SHOW AT THE BORDER   #BidenBorderCrisis	en	[]	[]	[]	7	5	19	['bidenbordercrisis']	[]	https://twitter.com/RepRonnyJackson/status/1397720855765999616	False		0								[]				
1397677806834814976	1397677806834814976	2021-05-26 18:15:31 EDT	2021-05-26	18:15:31	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		Last week, I testified before @HouseAgGOP about the bipartisan RESTORE Act I introduced with @RepCuellar.  This bill would help the ag community recover from:  📌 Natural disasters, like the recent winter storm in TX  📌 Droughts, especially helpful for cotton growers  https://t.co/L93soGKThO	en	[{'screen_name': 'houseaggop', 'name': 'house ag gop', 'id': '234573331'}, {'screen_name': 'repcuellar', 'name': 'rep. henry cuellar', 'id': '210926192'}]	[]	[]	6	4	14	[]	[]	https://twitter.com/RepRonnyJackson/status/1397677806834814976	False		1	https://pbs.twimg.com/amplify_video_thumb/1397674756615385088/img/CZ-2qAJgYz309MnK.jpg							[]				
1397355513323610114	1397355513323610114	2021-05-25 20:54:50 EDT	2021-05-25	20:54:50	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		DAY 62 — COP OUT KAMALA IS A NO SHOW AT THE BORDER   #BidenBorderCrisis	en	[]	[]	[]	8	7	24	['bidenbordercrisis']	[]	https://twitter.com/RepRonnyJackson/status/1397355513323610114	False		0								[]				
1397232244440317952	1397232244440317952	2021-05-25 12:45:01 EDT	2021-05-25	12:45:01	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		I've had enough of cancel culture &amp; its intent to destroy anyone who disagrees with Dems' radical, woke agenda.   Dems are now coming after service members' military awards from 131 years ago.   My new legislation would STOP this from happening!  MORE⬇️ https://t.co/0MYvCMwZeu	en	[]	['https://bit.ly/3flnjlM']	[]	11	7	20	[]	[]	https://twitter.com/RepRonnyJackson/status/1397232244440317952	False		0								[]				
1396997650076024839	1396997650076024839	2021-05-24 21:12:49 EDT	2021-05-24	21:12:49	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		DAY 61 — COP OUT KAMALA IS A NO SHOW AT THE BORDER   #BidenBorderCrisis	en	[]	[]	[]	6	6	44	['bidenbordercrisis']	[]	https://twitter.com/RepRonnyJackson/status/1396997650076024839	False		0								[]				
1396902052320759812	1396902052320759812	2021-05-24 14:52:57 EDT	2021-05-24	14:52:57	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		This was a good call by Governor Abbott!  Federal unemployment bonuses have incentivized people to stay out of the workforce for too long.  Texas is open for business and we're rapidly recovering from the effects of COVID — it's time to get back to work!  https://t.co/e2Tnkd7BYo	en	[]	['https://www.fox4news.com/news/gov-abbott-ends-extra-300-in-federal-unemployment-payments-for-texans']	[]	3	4	15	[]	[]	https://twitter.com/RepRonnyJackson/status/1396902052320759812	False		0								[]				
1396629595680555008	1396629595680555008	2021-05-23 20:50:18 EDT	2021-05-23	20:50:18	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		DAY 60 — COP OUT KAMALA IS A NO SHOW AT THE BORDER   #BidenBorderCrisis	en	[]	[]	[]	10	10	41	['bidenbordercrisis']	[]	https://twitter.com/RepRonnyJackson/status/1396629595680555008	False		0								[]				
1396558591272828929	1396558586118090760	2021-05-23 16:08:09 EDT	2021-05-23	16:08:09	-0400	1341903465610686464	repronnyjackson	Ronny Jackson		I, however, will ALWAYS:  ✅Side with democracy over terrorism ✅Stand firm in my support for our allies ✅Push back against the Dems' dangerous nonsense  https://t.co/RHHafLEHlP	en	[]	[]	['https://pbs.twimg.com/media/E2GSfJcXMAoZwoR.jpg']	2	4	16	[]	[]	https://twitter.com/RepRonnyJackson/status/1396558591272828929	False		1	https://pbs.twimg.com/media/E2GSfJcXMAoZwoR.jpg							[]				
