id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1296851091473104897	1296851091473104897	2020-08-21 12:46:09 EDT	2020-08-21	12:46:09	-0400	19912734	repradanovich	George Radanovich		President Trump's response to WOKE  https://t.co/pUMoPv2wul What do you think?	en	[]	['https://docs.google.com/document/d/1E2iPnLUc9tnQ-Cv3t2QxGcuuhaB9f4uIja3XQCUOd7Y/edit?usp=sharing']	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1296851091473104897	False		0								[]				
1296847510514872321	1296847510514872321	2020-08-21 12:31:55 EDT	2020-08-21	12:31:55	-0400	19912734	repradanovich	George Radanovich		President Trump's alernative to WOKE cultureReforming the Culture of AmericaTell me what you thinki?	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1296847510514872321	False		0								[]				
1295913403865632768	1295725396680482826	2020-08-18 22:40:07 EDT	2020-08-18	22:40:07	-0400	19912734	repradanovich	George Radanovich		@KatiePavlich So what did Susan do?	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/1295913403865632768	False		0								[{'screen_name': 'KatiePavlich', 'name': 'Katie Pavlich', 'id': '48459553'}]				
1277937350098563073	1277937350098563073	2020-06-30 08:09:41 EDT	2020-06-30	08:09:41	-0400	19912734	repradanovich	George Radanovich		Good news on the environment  https://t.co/LTkThCC1AO	en	[]	['http://environmentalprogress.org/big-news/2020/6/29/on-behalf-of-environmentalists-i-apologize-for-the-climate-scare']	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1277937350098563073	False		0								[]				
1240668773138358272	1240668773138358272	2020-03-19 11:57:40 EDT	2020-03-19	11:57:40	-0400	19912734	repradanovich	George Radanovich		What a wonderful message in a time of uncertainty. Wishing all the best to you and yours.  https://t.co/EbzuGOt0Zt	en	[]	['https://youtu.be/SoqZCJbA6AU']	[]	1	3	3	[]	[]	https://twitter.com/RepRadanovich/status/1240668773138358272	False		0								[]				
1233790290353242112	1233459495206035462	2020-02-29 11:25:02 EST	2020-02-29	11:25:02	-0400	19912734	repradanovich	George Radanovich		@TheJamaalHarris @BraveLad This guy’s got it!  A great man!!!!	en	[]	[]	[]	0	1	7	[]	[]	https://twitter.com/RepRadanovich/status/1233790290353242112	False		0								[{'screen_name': 'BraveLad', 'name': 'Markham Robinson', 'id': '16703058'}]				
1190262896548204544	1189708065563725824	2019-11-01 09:42:43 EDT	2019-11-01	09:42:43	-0400	19912734	repradanovich	George Radanovich		@FOX61News @BetoORourke She’s great!	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1190262896548204544	False		0								"[{'screen_name': 'FOX61News', 'name': 'FOX61', 'id': '9627102'}, {'screen_name': 'BetoORourke', 'name': ""Beto O'Rourke"", 'id': '342863309'}]"				
1187196050185973760	1187196050185973760	2019-10-23 22:36:10 EDT	2019-10-23	22:36:10	-0400	19912734	repradanovich	George Radanovich		Go Abbott! Pray for the Guv  https://t.co/OpyrR0e5l5	en	[]	['https://www.blabber.buzz/conservative-news/684904-texas-gov-announces-investigation-into-case-of-mother-transitioning-7-year-old-james-younger-against-fathers-wishes-special?utm_source=c-alrt&utm_medium=c-alrt-email&utm_term=c-alrt-AOL']	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1187196050185973760	False		0								[]				
1170150901052428288	1170122534135771137	2019-09-06 21:44:49 EDT	2019-09-06	21:44:49	-0400	19912734	repradanovich	George Radanovich		@thehill He’s 007. What else would you expect?	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/1170150901052428288	False		0								[{'screen_name': 'thehill', 'name': 'The Hill', 'id': '1917731'}]				
1166879809097482241	1166711610666356737	2019-08-28 21:06:40 EDT	2019-08-28	21:06:40	-0400	19912734	repradanovich	George Radanovich		@amyewalter Honor your father and mother.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1166879809097482241	False		0								[{'screen_name': 'amyewalter', 'name': 'amy walter', 'id': '50073507'}]				
1166190814474555393	1165988582395437056	2019-08-26 23:28:51 EDT	2019-08-26	23:28:51	-0400	19912734	repradanovich	George Radanovich		@fox5dc ❤️	und	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/1166190814474555393	False		0								[{'screen_name': 'fox5dc', 'name': 'FOX 5 DC', 'id': '13918492'}]				
1166188963150721024	1165625135774228483	2019-08-26 23:21:30 EDT	2019-08-26	23:21:30	-0400	19912734	repradanovich	George Radanovich		@CNN Ha ha! The more we explore, the more we realize what a unique planet we have. Thank God for that. Good luck finding another one!	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1166188963150721024	False		0								[{'screen_name': 'CNN', 'name': 'CNN', 'id': '759251'}]				
1165093523269419008	1165093523269419008	2019-08-23 22:48:36 EDT	2019-08-23	22:48:36	-0400	19912734	repradanovich	George Radanovich		@realkleavitt hello	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1165093523269419008	False		0								[]				
1165081077318209537	1165081077318209537	2019-08-23 21:59:09 EDT	2019-08-23	21:59:09	-0400	19912734	repradanovich	George Radanovich		Changing times: WATCH: Renowned Yale Prof Leaves Darwinism, Says Intelligent Design ‘Absolutely Serious’ Theory | Daily Wire  https://t.co/xpErfprdvt	en	[]	['https://www.dailywire.com/news/50912/watch-renowned-yale-prof-leaves-darwinism-says-amanda-prestigiacomo']	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/1165081077318209537	False		0								[]				
1164163565009248256	1164138795475881986	2019-08-21 09:13:17 EDT	2019-08-21	09:13:17	-0400	19912734	repradanovich	George Radanovich		@realDonaldTrump I thought the Jews were still waiting for the first coming of God.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1164163565009248256	False		0								[{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': '25073877'}]				
1164004526447161345	1163507561112449024	2019-08-20 22:41:19 EDT	2019-08-20	22:41:19	-0400	19912734	repradanovich	George Radanovich		@BillKristol Yes, why don’t we return to the visionless, shortsighted, clueless Republicans waiting in the cue. Whose your alternative?  You don’t have one.	en	[]	[]	[]	0	0	2	[]	[]	https://twitter.com/RepRadanovich/status/1164004526447161345	False		0								[{'screen_name': 'BillKristol', 'name': 'Bill Kristol', 'id': '2800581040'}]				
1158773597399162881	1158773597399162881	2019-08-06 12:15:29 EDT	2019-08-06	12:15:29	-0400	19912734	repradanovich	George Radanovich		Ending Mass Shootings will be a heavy lift.  Here's how to get started in CALI  https://t.co/N8YHt0Z76V Changing our culture.	en	[]	['https://is.gd/eHRljH']	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/1158773597399162881	False		0								[]				
1158431854829043712	1158431854829043712	2019-08-05 13:37:31 EDT	2019-08-05	13:37:31	-0400	19912734	repradanovich	George Radanovich		It’s our culture, stupid!  And DC can’t fix culture. We an,tho-one step at a time. We have studied every mass shooting since 1966. Here's what we've learned about the shooters - Los Angeles Times  https://t.co/E8rgiGZmTY	en	[]	['https://apple.news/ASWclPWeNQyqkVUGuyiHMIw']	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/1158431854829043712	False		0								[]				
917701690492469248	917701690492469248	2017-10-10 06:41:47 EDT	2017-10-10	06:41:47	-0400	19912734	repradanovich	George Radanovich		"Kennedy's ""What can you do for your country?""  Worship God, love your neighbor, dedicate yourself to your children, work hard and ethically."	en	[]	[]	[]	1	2	4	[]	[]	https://twitter.com/RepRadanovich/status/917701690492469248	False		0								[]				
908138567330697216	908138345640820736	2017-09-13 21:21:21 EDT	2017-09-13	21:21:21	-0400	19912734	repradanovich	George Radanovich		@youcaring Great way to help fellow Americans in Houston.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/908138567330697216	False		0								[{'screen_name': 'youcaring', 'name': 'YouCaring', 'id': '312904302'}]				
908138345640820736	908138345640820736	2017-09-13 21:20:28 EDT	2017-09-13	21:20:28	-0400	19912734	repradanovich	George Radanovich		Houston Flood Relief Fund  https://t.co/Wq0Ns4Y5R2 via @youcaring	en	[{'screen_name': 'youcaring', 'name': 'youcaring', 'id': '312904302'}]	['https://www.youcaring.com/victimsofhurricaneharvey-915053']	[]	1	1	1	[]	[]	https://twitter.com/RepRadanovich/status/908138345640820736	False		0								[]				
839113148992995329	839113148992995329	2017-03-07 08:58:59 EST	2017-03-07	08:58:59	-0400	19912734	repradanovich	George Radanovich		California Dreaming!  https://t.co/fDUY4jDI6g	en	[]	['http://icont.ac/3HmS5']	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/839113148992995329	False		0								[]				
835993367972622336	835993367972622336	2017-02-26 18:22:05 EST	2017-02-26	18:22:05	-0400	19912734	repradanovich	George Radanovich		Farmers Deserve A Balanced Ag Labor Board  https://t.co/kjlLrXGci6	en	[]	['http://icont.ac/3GPtI']	[]	1	0	2	[]	[]	https://twitter.com/RepRadanovich/status/835993367972622336	False		0								[]				
799683286046044160	799683286046044160	2016-11-18 13:38:47 EST	2016-11-18	13:38:47	-0400	19912734	repradanovich	George Radanovich		Trump Offers Hope for CA Water  https://t.co/69xQw2HWxA	en	[]	['http://icont.ac/3AT6v']	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/799683286046044160	False		0								[]				
798158939657478145	798158939657478145	2016-11-14 08:41:34 EST	2016-11-14	08:41:34	-0400	19912734	repradanovich	George Radanovich		Make sure you have enough Rad Wine for the upcoming Holiday Season!!!  https://t.co/UVrnPd4Bkg	en	[]	['http://icont.ac/3AwoL']	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/798158939657478145	False		0								[]				
768862365068566528	768860804523307010	2016-08-25 13:27:27 EDT	2016-08-25	13:27:27	-0400	19912734	repradanovich	George Radanovich		@minsd sure. Call me at cal fresh fruit assoc and I'll arrange 559 226 6330	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/768862365068566528	False		0								[{'screen_name': 'minsd', 'name': 'Marce G. Graudiņš', 'id': '14338900'}]				
768860804523307010	768860804523307010	2016-08-25 13:21:15 EDT	2016-08-25	13:21:15	-0400	19912734	repradanovich	George Radanovich		Happy arrange a meeting with Mr Scott for you to hear his thoughts. He is a farmer in Fresno.   https://t.co/geOoxHb4XX	en	[]	['https://twitter.com/minsd/status/768852391898656768']	[]	0	0	4	[]	[]	https://twitter.com/RepRadanovich/status/768860804523307010	False	0	0								[]				
767871126533922816	767871126533922816	2016-08-22 19:48:37 EDT	2016-08-22	19:48:37	-0400	19912734	repradanovich	George Radanovich		@CAproTem Kevin-if you'd actually talk to farm workers, they'd say no-you're not helping them#ab1066  https://t.co/LA5uZowWQq	en	[]	['https://twitter.com/caprotem/status/767866291319283712']	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/767871126533922816	False	https://twitter.com/caprotem/status/767866291319283712	0								[]				
767869286832484352	767869286832484352	2016-08-22 19:41:18 EDT	2016-08-22	19:41:18	-0400	19912734	repradanovich	George Radanovich		Kevin-if you actually sat down with farm workers they'd tell you no, you are not helping them.   https://t.co/LA5uZowWQq	en	[]	['https://twitter.com/caprotem/status/767866291319283712']	[]	2	5	2	[]	[]	https://twitter.com/RepRadanovich/status/767869286832484352	False	https://twitter.com/caprotem/status/767866291319283712	0								[]				
754359274139181057	754359274139181057	2016-07-16 12:57:20 EDT	2016-07-16	12:57:20	-0400	19912734	repradanovich	George Radanovich		Hard to get Mariposa Sauvignon Blanc still available  https://t.co/kNBMJSduao	en	[]	['http://icont.ac/3sCIV']	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/754359274139181057	False		0								[]				
747515189747130368	747515189747130368	2016-06-27 15:41:24 EDT	2016-06-27	15:41:24	-0400	19912734	repradanovich	George Radanovich		I'll be the new head of the California Fresh Fruit Associaton  https://t.co/ObpWztJr2R	en	[]	['http://icont.ac/3rkVd']	[]	1	0	4	[]	[]	https://twitter.com/RepRadanovich/status/747515189747130368	False		0								[]				
722422282442780672	699955116082724865	2016-04-19 09:51:08 EDT	2016-04-19	09:51:08	-0400	19912734	repradanovich	George Radanovich		@ConcrndFthrPrep thank you!!	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/722422282442780672	False		0								[]				
718100309705408513	718100309705408513	2016-04-07 11:37:10 EDT	2016-04-07	11:37:10	-0400	19912734	repradanovich	George Radanovich		Epic drought takes its toll, but the 2015 1,000 Vines Sauvignon Blanc is spectacular!  https://t.co/naeDZyWKKe	en	[]	['http://icont.ac/3lnIO']	[]	0	1	0	[]	[]	https://twitter.com/RepRadanovich/status/718100309705408513	False		0								[]				
715021397454508033	699955116082724865	2016-03-29 23:42:40 EDT	2016-03-29	23:42:40	-0400	19912734	repradanovich	George Radanovich		@ConcrndFthrPrep Thank you!!	en	[]	[]	[]	0	1	0	[]	[]	https://twitter.com/RepRadanovich/status/715021397454508033	False		0								[]				
715018602269650945	715018602269650945	2016-03-29 23:31:33 EDT	2016-03-29	23:31:33	-0400	19912734	repradanovich	George Radanovich		"""What You Can Do For Your Country""  If you like this, please retweet.  Thanks!  https://t.co/RsJHbLBwVr"	en	[]	['http://thehill.com/blogs/congress-blog/politics/273457-what-you-can-do-for-your-country']	[]	1	2	0	[]	[]	https://twitter.com/RepRadanovich/status/715018602269650945	False		0								[]				
715017019293179906	699955116082724865	2016-03-29 23:25:16 EDT	2016-03-29	23:25:16	-0400	19912734	repradanovich	George Radanovich		@ConcrndFthrPrep Thank you!!  So many people don't realize that this is the message that unifies us!!	en	[]	[]	[]	1	1	0	[]	[]	https://twitter.com/RepRadanovich/status/715017019293179906	False		0								[]				
715016544229531648	715016544229531648	2016-03-29 23:23:23 EDT	2016-03-29	23:23:23	-0400	19912734	repradanovich	George Radanovich		Conservatives should have listened in 2012 to this message- The Last Trump Card  https://t.co/4gwl5OdzHj	en	[]	['http://thehill.com/blogs/congress-blog/politics/274307-the-last-trump-card-for-conservatives-helping-the-fatherless-child']	[]	1	3	0	[]	[]	https://twitter.com/RepRadanovich/status/715016544229531648	False		0								[]				
713903590750859264	699955116082724865	2016-03-26 21:40:54 EDT	2016-03-26	21:40:54	-0400	19912734	repradanovich	George Radanovich		@AHLondonTX Thanks!!	en	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/RepRadanovich/status/713903590750859264	False		0								[]				
713903448912080896	699955116082724865	2016-03-26 21:40:20 EDT	2016-03-26	21:40:20	-0400	19912734	repradanovich	George Radanovich		@AHLondonTX Thank you Leslie.  Just keep on trying!	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/713903448912080896	False		0								[]				
710926197430083590	710926197430083590	2016-03-18 16:29:48 EDT	2016-03-18	16:29:48	-0400	19912734	repradanovich	George Radanovich		... What You Can Do For Your Country  https://t.co/irkKLJ4Svx	en	[]	['http://icont.ac/3jTQq']	[]	0	2	0	[]	[]	https://twitter.com/RepRadanovich/status/710926197430083590	False		0								[]				
681536707284602881	681536707284602881	2015-12-28 13:06:28 EST	2015-12-28	13:06:28	-0400	19912734	repradanovich	George Radanovich		How to fix California   https://t.co/E3EihZTXLl	en	[]	['http://icont.ac/3dutj']	[]	0	1	0	[]	[]	https://twitter.com/RepRadanovich/status/681536707284602881	False		0								[]				
677880874528997376	677880874528997376	2015-12-18 10:59:29 EST	2015-12-18	10:59:29	-0400	19912734	repradanovich	George Radanovich		Former Rep. George Radanovich Keeps Crushing It  https://t.co/Q34kjLnrkl via @rollcall	en	[{'screen_name': 'rollcall', 'name': 'roll call', 'id': '15922214'}]	['http://blogs.rollcall.com/news/former-rep-george-radanovich-keeps-crushing/']	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/677880874528997376	False		0								[]				
674659287227113472	674659287227113472	2015-12-09 13:38:03 EST	2015-12-09	13:38:03	-0400	19912734	repradanovich	George Radanovich		Order Radanovich wine for Christmas!  https://t.co/dfhbugIzxb	de	[]	['http://icont.ac/3cbnk']	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/674659287227113472	False		0								[]				
664476537421475840	664476537421475840	2015-11-11 11:15:26 EST	2015-11-11	11:15:26	-0400	19912734	repradanovich	George Radanovich		Wine from 1,000 Vines for Thanksgiving dinner and Christmas giving  https://t.co/8FfAhhtN7o	en	[]	['http://icont.ac/39TWn']	[]	0	0	0	[]	[]	https://twitter.com/RepRadanovich/status/664476537421475840	False		0								[]				
646742365332459520	646742365332459520	2015-09-23 13:46:10 EDT	2015-09-23	13:46:10	-0400	19912734	repradanovich	George Radanovich		Wine and Politics!! Great Sac Bee article. Only 25 cases left!!  http://t.co/CdnWjQUAaJ	en	[]	['http://icont.ac/360SI']	[]	0	1	4	[]	[]	https://twitter.com/RepRadanovich/status/646742365332459520	False		0								[]				
643240420919480320	643108301408858112	2015-09-13 21:50:41 EDT	2015-09-13	21:50:41	-0400	19912734	repradanovich	George Radanovich		@kyleraccio Ha!  It's good!   http://t.co/rtONn1tYgj	en	[]	['http://1000Vines.com']	[]	0	0	1	[]	[]	https://twitter.com/RepRadanovich/status/643240420919480320	False		0								[]				
643174464218263552	643108301408858112	2015-09-13 17:28:36 EDT	2015-09-13	17:28:36	-0400	19912734	repradanovich	George Radanovich		Here is my label @RepRadanovich  http://t.co/M1KLnn6SQ7	en	[{'screen_name': 'repradanovich', 'name': 'george radanovich', 'id': '19912734'}]	[]	['https://pbs.twimg.com/media/CO0DxA-UwAEW5ow.jpg']	0	0	2	[]	[]	https://twitter.com/RepRadanovich/status/643174464218263552	False		1	https://pbs.twimg.com/media/CO0DxA-UwAEW5ow.jpg							[]				
643108301408858112	643108301408858112	2015-09-13 13:05:42 EDT	2015-09-13	13:05:42	-0400	19912734	repradanovich	George Radanovich		 http://t.co/rtONn1tYgj  From politics to wine from Rep. George Radanovich (Ret)  http://t.co/b4Gv71INbw	en	[]	['http://1000Vines.com', 'http://icont.ac/2VpeA']	[]	1	1	1	[]	[]	https://twitter.com/RepRadanovich/status/643108301408858112	False		0								[]				
