id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
947861616397307905	947861616397307905	2018-01-01 11:06:34 EST	2018-01-01	11:06:34	-0400	829794295355940866	senatorstrange	Sen Luther Strange		Wishing everyone a #HappyNewYear in 2018! It's been an honor to serve as your Senator and I will continue to work hard for the people of Alabama and to do everything I can to help @realDonaldTrump #MAGA! Please follow me now at @lutherstrange  https://t.co/9UmpYH03iE	en	[{'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}, {'screen_name': 'lutherstrange', 'name': 'luther strange', 'id': '15141113'}]	['https://www.facebook.com/SenatorLutherStrange/videos/1431330366975996/']	[]	21	6	31	['happynewyear', 'maga']	[]	https://twitter.com/SenatorStrange/status/947861616397307905	False		0								[]				
945416437606309895	945416437606309895	2017-12-25 17:10:18 EST	2017-12-25	17:10:18	-0400	829794295355940866	senatorstrange	Sen Luther Strange		"""For there is born to you this day in the city of David a Savior, who is Christ the Lord."" Wishing you a Merry Christmas, filled with family, friends, and the joys of the season!"	en	[]	[]	[]	17	3	41	[]	[]	https://twitter.com/SenatorStrange/status/945416437606309895	False		0								[]				
943931317359652865	943931317359652865	2017-12-21 14:48:58 EST	2017-12-21	14:48:58	-0400	829794295355940866	senatorstrange	Sen Luther Strange		When I arrived in the Senate, I knew that the people of Alabama wanted results, not rhetoric. The achievements won w/ @POTUS and my colleagues are benefiting Alabama families, and I am proud of this record of success.   https://t.co/sMRBWfvKlt  https://t.co/c269qAPpxo	en	[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}]	['http://bit.ly/2BugX13']	['https://pbs.twimg.com/media/DRmEd3OX4AARZ0P.jpg']	43	8	54	[]	[]	https://twitter.com/SenatorStrange/status/943931317359652865	False		1	https://pbs.twimg.com/media/DRmEd3OX4AARZ0P.jpg							[]				
943594249093894147	943594249093894147	2017-12-20 16:29:34 EST	2017-12-20	16:29:34	-0400	829794295355940866	senatorstrange	Sen Luther Strange		It's a great day in America. I️ was proud to join my friends @sendavidperdue @SenJoniErnst @SenatorFischer @SenCapito at the White House to mark a historic achievement - generational #TaxRelief for hardworking families, small businesses, and job creators across the nation!  https://t.co/RPkD3H2z6O	en	[{'screen_name': 'sendavidperdue', 'name': 'david perdue', 'id': '2863210809'}, {'screen_name': 'senjoniernst', 'name': 'joni ernst', 'id': '2856787757'}, {'screen_name': 'senatorfischer', 'name': 'senator deb fischer', 'id': '1071402577'}, {'screen_name': 'sencapito', 'name': 'shelley moore capito', 'id': '193794406'}]	[]	['https://pbs.twimg.com/media/DRhRmk7WAAEm4Og.jpg']	41	13	53	['taxrelief']	[]	https://twitter.com/SenatorStrange/status/943594249093894147	False		1	https://pbs.twimg.com/media/DRhRmk7WAAEm4Og.jpg							[]				
943360627162210304	943360627162210304	2017-12-20 01:01:14 EST	2017-12-20	01:01:14	-0400	829794295355940866	senatorstrange	Sen Luther Strange		Tax relief is now reality for the American families working hard to make ends meet, for small businesses that serve as cornerstones of communities, and for job creators who know the power of American industry. Tonight, I was proud to cast my vote tonight.  https://t.co/AtpyD7kilw  https://t.co/7NUYviDgO4	en	[]	['http://bit.ly/2Dcq97C']	['https://pbs.twimg.com/tweet_video_thumb/DRd8sYxX0AAEAEb.jpg']	12	7	20	[]	[]	https://twitter.com/SenatorStrange/status/943360627162210304	False		1	https://pbs.twimg.com/tweet_video_thumb/DRd8sYxX0AAEAEb.jpg							[]				
943251056741449729	943251056741449729	2017-12-19 17:45:51 EST	2017-12-19	17:45:51	-0400	829794295355940866	senatorstrange	Sen Luther Strange		Tonight, the Senate will vote on long-overdue relief from an outdated tax code. This is a win for all Americans, and I'll be proud to support it. #TaxRelief  https://t.co/0qh6nHJHFH	en	[]	[]	['https://pbs.twimg.com/media/DRcY7WBW4AAsGr-.jpg']	39	2	20	['taxrelief']	[]	https://twitter.com/SenatorStrange/status/943251056741449729	False		1	https://pbs.twimg.com/media/DRcY7WBW4AAsGr-.jpg							[]				
942903866932236289	942903866932236289	2017-12-18 18:46:14 EST	2017-12-18	18:46:14	-0400	829794295355940866	senatorstrange	Sen Luther Strange		I was proud to vote today for my friend and fellow Alabamian, Paul Compton. @SecretaryCarson is gaining a capable teammate.  https://t.co/XBmHMFTKru	en	[{'screen_name': 'secretarycarson', 'name': 'archive: ben carson', 'id': '828613457020870657'}]	['https://twitter.com/senategopfloor/status/942892706430414848']	[]	8	3	9	[]	[]	https://twitter.com/SenatorStrange/status/942903866932236289	False	https://twitter.com/senategopfloor/status/942892706430414848	0								[]				
941343259393130496	941343259393130496	2017-12-14 11:24:57 EST	2017-12-14	11:24:57	-0400	829794295355940866	senatorstrange	Sen Luther Strange		Working with Chairman @SenJohnMcCain @SASCMajority has been a highlight of my time in the Senate. My prayers are with my friend and colleague as he conquers the latest challenge thrown his way.	en	[{'screen_name': 'senjohnmccain', 'name': 'john mccain', 'id': '19394188'}]	[]	[]	9	5	19	[]	[]	https://twitter.com/SenatorStrange/status/941343259393130496	False		0								[]				
941072151347638272	941072151347638272	2017-12-13 17:27:39 EST	2017-12-13	17:27:39	-0400	829794295355940866	senatorstrange	Sen Luther Strange		 https://t.co/HLAeyWbD9K	und	[]	[]	[]	8	2	2	[]	[]	https://twitter.com/SenatorStrange/status/941072151347638272	False		1	https://pbs.twimg.com/media/DQ9ZlPQX4AAcUc_.jpg							[]				
941050211862044677	941050211862044677	2017-12-13 16:00:29 EST	2017-12-13	16:00:29	-0400	829794295355940866	senatorstrange	Sen Luther Strange		Getting ready to join @TeamCavuto on @FoxNews to talk about yesterday's #ALSEN election results  https://t.co/oRgDl61nH4	en	[{'screen_name': 'teamcavuto', 'name': 'neil cavuto', 'id': '223970563'}, {'screen_name': 'foxnews', 'name': 'fox news', 'id': '1367531'}]	[]	['https://pbs.twimg.com/media/DQ9ILTvUEAEGCyH.jpg']	11	2	7	['alsen']	[]	https://twitter.com/SenatorStrange/status/941050211862044677	False		1	https://pbs.twimg.com/media/DQ9ILTvUEAEGCyH.jpg							[]				
