Name,Link,State,Party,Position
"Baldwin, Tammy",https://twitter.com/SenatorBaldwin,WI,D,sen
"Barrasso, John",https://twitter.com/SenJohnBarrasso,WY,R,sen
"Bennet, Michael F.",https://twitter.com/SenatorBennet,CO,D,sen
"Blackburn, Marsha",https://twitter.com/MarshaBlackburn,TN,R,sen
"Blumenthal, Richard",https://twitter.com/SenBlumenthal,CT,D,sen
"Blunt, Roy",https://twitter.com/RoyBlunt,MO,R,sen
"Booker, Cory A.",https://twitter.com/CoryBooker,NJ,D,sen
"Boozman, John",https://twitter.com/JohnBoozman,AR,R,sen
"Braun, Mike",https://twitter.com/SenatorBraun,IN,R,sen
"Brown, Sherrod",https://twitter.com/SenSherrodBrown,OH,D,sen
"Burr, Richard",https://twitter.com/SenatorBurr,NC,R,sen
"Cantwell, Maria",https://twitter.com/SenatorCantwell,WA,D,sen
"Capito, Shelley Moore",https://twitter.com/SenCapito,WV,R,sen
"Cardin, Benjamin L.",https://twitter.com/SenatorCardin,MD,D,sen
"Carper, Thomas R.",https://twitter.com/SenatorCarper,DE,D,sen
"Casey, Robert P. Jr.",https://twitter.com/SenBobCasey,PA,D,sen
"Cassidy, Bill",https://twitter.com/SenBillCassidy,LA,R,sen
"Collins, Susan M.",https://twitter.com/SenatorCollins,ME,R,sen
"Coons, Christopher A.",https://twitter.com/ChrisCoons,DE,D,sen
"Cornyn, John",https://twitter.com/JohnCornyn,TX,R,sen
"Cortez Masto, Catherine",https://twitter.com/SenCortezMasto,NV,D,sen
"Cotton, Tom",https://twitter.com/SenTomCotton,AK,R,sen
"Cramer, Kevin",https://twitter.com/SenKevinCramer,ND,R,sen
"Crapo, Mike",https://twitter.com/MikeCrapo,ID,R,sen
"Cruz, Ted",https://twitter.com/SenTedCruz,TX,R,sen
"Daines, Steve",https://twitter.com/SteveDaines,MT,R,sen
"Duckworth, Tammy",https://twitter.com/SenDuckworth,IL,D,sen
"Durbin, Richard J.",https://twitter.com/SenatorDurbin,IL,D,sen
"Ernst, Joni",https://twitter.com/SenJoniErnst,IA,R,sen
"Feinstein, Dianne",https://twitter.com/SenFeinstein,CA,D,sen
"Fischer, Deb",https://twitter.com/SenatorFischer,NE,R,sen
"Gillibrand, Kirsten E.",https://twitter.com/SenGillibrand,NY,D,sen
"Graham, Lindsey",https://twitter.com/LindseyGrahamSC,SC,R,sen
"Grassley, Chuck",https://twitter.com/ChuckGrassley,IA,R,sen
"Hagerty, Bill",https://twitter.com/SenatorHagerty,TN,R,sen
"Hassan, Margaret Wood",https://twitter.com/SenatorHassan,NH,D,sen
"Hawley, Josh",https://twitter.com/HawleyMO,MO,R,sen
"Heinrich, Martin",https://twitter.com/MartinHeinrich,NM,D,sen
"Hickenlooper, John W.",https://twitter.com/SenatorHick,CO,D,sen
"Hirono, Mazie K.",https://twitter.com/maziehirono,HI,D,sen
"Hoeven, John",https://twitter.com/SenJohnHoeven,ND,R,sen
"Hyde-Smith, Cindy",https://twitter.com/SenHydeSmith,MS,R,sen
"Inhofe, James M.",https://twitter.com/JimInhofe,OK,R,sen
"Johnson, Ron",https://twitter.com/SenRonJohnson,WI,R,sen
"Kaine, Tim",https://twitter.com/timkaine,VA,D,sen
